Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-0.1816598
32.05,-0.1256143
32.1,-4.677698E-02
32.15,-3.137907E-02
32.2,0.100363
32.25,6.278121E-02
32.3,-4.780738E-02
32.35,0.1189135
32.4,0.1381934
32.45,0.0466144
32.5,-7.298719E-02
32.55,-0.0729085
32.6,2.609347E-02
32.65,0.1252797
32.7,0.319476
32.75,7.890918E-02
32.8,-0.2872011
32.85,-0.5767155
32.9,-0.511292
32.95,-0.1861417
33,6.685273E-02
33.05,0.2517408
33.1,0.1451907
33.15,-0.1401147
33.2,-0.1341994
33.25,-9.321062E-02
33.3,-0.1998994
33.35,-0.2654059
33.4,-0.1557897
33.45,-0.1035237
33.5,-0.1316022
33.55,-2.145361E-02
33.6,-0.1073272
33.65,-0.3441289
33.7,-0.4179802
33.75,-0.382275
33.8,-0.3044169
33.85,-0.336782
33.9,-0.2240669
33.95,-6.200455E-02
34,-0.1039301
34.05,-0.1239202
34.1,-0.3027662
34.15,-0.6476964
34.2,-0.7981966
34.25,-0.605007
34.3,-0.3341377
34.35,-0.1618616
34.4,0.1020849
34.45,-7.342707E-02
34.5,-0.3532491
34.55,-0.5355014
34.6,-0.5856766
34.65,-0.4409146
34.7,-0.2981202
34.75,-8.710021E-02
34.8,-0.1055328
34.85,-0.2577831
34.9,-0.321992
34.95,-0.4357621
35,-0.5615027
35.05,-0.6375042
35.1,-0.5820991
35.15,-0.4962948
35.2,-0.3541495
35.25,-0.1925029
35.3,-0.108837
35.35,-0.2358348
