Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 12:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 1:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8477 10nM
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,52.4,43.00,108.9,1.2,0.0,113.8
287,328.79,"1,736.8",,320.3,67.71,72.8,8.0,13.0,427.9
302,125.65,629.6,,127.1,69.08,81.4,1.4,5.0,166.3
315,91.61,441.2,,95.6,70.06,84.5,1.0,3.7,123.2
323,56.23,264.1,,59.8,70.71,86.6,0.6,2.3,76.3
356,59.82,254.8,,68.9,73.37,87.1,0.7,2.6,84.6
372,70.68,287.7,,84.6,74.70,85.2,0.9,3.1,101.9
388,56.62,221.0,,70.3,75.98,83.9,0.7,2.5,83.2
404,52.34,196.5,,66.9,77.14,85.5,0.7,2.4,77.9
411,59.00,217.4,,75.9,77.57,86.3,0.8,2.7,87.9
424,41.28,147.5,,53.6,78.30,83.8,0.6,1.9,61.5
472,41.96,134.7,,56.6,81.00,81.8,0.6,1.9,62.7
510,42.99,127.8,,60.2,83.06,81.7,0.6,2.0,64.9
534,70.80,201.0,,103.0,84.22,80.5,1.1,3.3,109.4
549,47.01,129.8,,70.0,84.95,80.2,0.8,2.2,73.7
568,56.37,150.5,,86.3,85.85,79.5,0.9,2.7,89.9
596,34.27,87.1,,54.7,87.22,79.3,0.6,1.7,56.1
622,60.35,147.0,,96.8,88.12,82.7,1.0,3.0,98.1
655,46.85,108.3,,75.0,89.19,85.2,0.8,2.3,75.0
687,52.63,116.1,,84.0,90.22,89.7,0.8,2.5,83.0
719,65.26,137.4,,105.2,90.91,92.8,1.0,3.1,103.3
