Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,L8577 10nM
Number of Events,2121
 
Time,Value
32,5.095527E-02
32.05,3.945426E-02
32.1,8.252193E-02
32.15,-4.565955E-02
32.2,1.798978E-02
32.25,0.2535893
32.3,0.461281
32.35,0.4502845
32.4,0.2746917
32.45,8.722202E-02
32.5,-0.1382132
32.55,-0.2068361
32.6,0.1272867
32.65,0.4350601
32.7,0.5272162
32.75,0.393475
32.8,0.1831198
32.85,-3.175773E-02
32.9,-7.828983E-02
32.95,0.0690313
33,0.2676697
33.05,0.226908
33.1,0.1115156
33.15,-0.1003866
33.2,-0.3438068
33.25,-0.4896271
33.3,-0.5082124
33.35,-0.4745299
33.4,-0.4752558
33.45,-0.4045184
33.5,-0.3951198
33.55,-0.2721393
33.6,-0.1640557
33.65,-7.746609E-02
33.7,-0.1168757
33.75,-0.1222104
33.8,-0.1373759
33.85,-9.615286E-02
33.9,5.570374E-02
33.95,9.220888E-02
34,-0.0538648
34.05,-0.2708615
34.1,-0.4562453
34.15,-0.7169811
34.2,-0.7816423
34.25,-0.5635986
34.3,-0.2014214
34.35,0.0605015
34.4,0.2013582
34.45,0.1707215
34.5,-0.1569386
34.55,-0.4561315
34.6,-0.5640339
34.65,-0.5566095
34.7,-0.5180275
34.75,-0.3858944
34.8,-0.1087265
34.85,5.449951E-02
34.9,0.2231843
34.95,0.2172984
35,-5.487923E-02
35.05,-0.4862712
35.1,-0.9044998
35.15,-0.9940167
35.2,-0.7722037
35.25,-0.4289137
35.3,-7.810295E-02
35.35,0.1804981
35.4,0.2046492
