""	"samples"	"Name"	"Average Size [bp]"	"Conc. [pg/µl]"	"Molarity [pmol/l]"
"NA"	"L8477 10nM"	"Region 1"	"0"	"0.00"	"0.0"
"NA"	"L8574 10nM"	"Region 1"	"125"	"68.84"	"833.5"
"NA"	"L8575 10nM"	"Region 1"	"126"	"4.80"	"57.6"
"NA"	"L8576 10nM"	"Region 1"	"127"	"0.28"	"3.4"
"NA"	"L8577 10nM"	"Region 1"	"127"	"0.43"	"5.1"
"NA"	"L8578 10nM"	"Region 1"	"126"	"0.56"	"6.7"
"NA"	"L8579 10nM"	"Region 1"	"127"	"14.21"	"170.1"
"NA"	"L8580 10nM"	"Region 1"	"124"	"2.48"	"30.2"
"NA"	"L8581 10nM"	"Region 1"	"125"	"7.17"	"86.6"
"NA"	"L8582 10nM"	"Region 1"	"123"	"0.24"	"2.9"
"NA"	"L8583 10nM"	"Region 1"	"124"	"5.67"	"69.3"
"NA"	"L8477 10nM"	"Region 2"	"432"	"2,002.68"	"7,987.6"
"NA"	"L8574 10nM"	"Region 2"	"480"	"1,218.75"	"4,419.5"
"NA"	"L8575 10nM"	"Region 2"	"412"	"1,869.99"	"8,040.2"
"NA"	"L8576 10nM"	"Region 2"	"417"	"2,180.45"	"9,261.9"
"NA"	"L8577 10nM"	"Region 2"	"439"	"1,831.91"	"7,324.3"
"NA"	"L8578 10nM"	"Region 2"	"437"	"2,035.87"	"8,235.5"
"NA"	"L8579 10nM"	"Region 2"	"463"	"1,197.23"	"4,546.1"
"NA"	"L8580 10nM"	"Region 2"	"447"	"1,129.97"	"4,450.7"
"NA"	"L8581 10nM"	"Region 2"	"449"	"2,006.43"	"7,883.4"
"NA"	"L8582 10nM"	"Region 2"	"454"	"1,338.02"	"5,210.2"
"NA"	"L8583 10nM"	"Region 2"	"451"	"1,545.86"	"6,063.2"
"NA"	"L8477 10nM"	"Region 3"	"1,032"	"2,850.16"	"8,951.8"
"NA"	"L8574 10nM"	"Region 3"	"1,607"	"3,655.62"	"6,774.0"
"NA"	"L8575 10nM"	"Region 3"	"1,010"	"2,664.58"	"8,951.1"
"NA"	"L8576 10nM"	"Region 3"	"1,054"	"3,235.89"	"10,446.0"
"NA"	"L8577 10nM"	"Region 3"	"1,085"	"2,884.73"	"8,546.7"
"NA"	"L8578 10nM"	"Region 3"	"1,055"	"3,254.50"	"9,681.4"
"NA"	"L8579 10nM"	"Region 3"	"1,431"	"3,031.10"	"6,399.5"
"NA"	"L8580 10nM"	"Region 3"	"1,312"	"2,298.73"	"5,697.9"
"NA"	"L8581 10nM"	"Region 3"	"1,172"	"3,670.96"	"9,750.8"
"NA"	"L8582 10nM"	"Region 3"	"1,245"	"2,669.80"	"6,663.8"
"NA"	"L8583 10nM"	"Region 3"	"1,304"	"3,349.49"	"7,961.2"
